open,volume,weightedAverage,close,date,quoteVolume,high,low
3829.99999997,208.30545759,3830.02872719,3834.99999961,1546642800,0.05438744,3834.99999961,3829.99999997
3834.99999961,0,3834.99999961,3834.99999961,1546643100,0,3834.99999961,3834.99999961
3834.99999997,104.81400149,3834.99999997,3834.99999999,1546643400,0.0273309,3834.99999999,3834.99999997
3834.99999994,4572.73579775,3833.10406259,3833,1546643700,1.19295895,3834.99999997,3833
3833,0,3833,3833,1546644000,0,3833,3833
3833,0,3833,3833,1546644300,0,3833,3833
3833,0,3833,3833,1546644600,0,3833,3833
3833,0,3833,3833,1546644900,0,3833,3833
3833,0,3833,3833,1546645200,0,3833,3833
3832.46999997,1834.37625918,3833.0694599,3833.98999999,1546645500,0.47856588,3833.98999999,3832.46999997
3830,17.003668,3830,3830,1546645800,0.0044396,3830,3830
3830,0,3830,3830,1546646100,0,3830,3830
3820.8176498,265.15484897,3820.8176498,3820.8176498,1546646400,0.06939741,3820.8176498,3820.8176498
3820.8176498,0,3820.8176498,3820.8176498,1546646700,0,3820.8176498,3820.8176498
3825,4450.72034299,3826.61227858,3846.00000001,1546647000,1.16309676,3846.00000001,3824.99999997
3845.20028456,23482.73085703,3861.01628575,3855,1546647300,6.08200772,3869.98999984,3843.8176501
3847.28392724,1946.72566782,3847.2839285,3847.28393044,1546647600,0.506,3847.28393048,3847.28392724
3845.00000007,9057.50882094,3845.97698224,3846.00001559,1546647900,2.35506059,3846.00002744,3845.00000007
3846.00015566,650.74438013,3846.0069748,3846.38475568,1546648200,0.1692,3846.38475568,3846.00015566
3846.00015566,2157.91244232,3844.89307606,3848.94492904,1546648500,0.56124121,3848.94492904,3840.1234568
3850.67193996,7.70668068,3851.68411655,3852.69542343,1546648800,0.00200086,3852.69542343,3850.67193996
3852.69542343,0,3852.69542343,3852.69542343,1546649100,0,3852.69542343,3852.69542343
3842.81235004,149.10884246,3842.43800891,3842.42810723,1546649400,0.03880579,3842.81235004,3842.42810723
3844.34970553,4.01638435,3844.34970553,3844.34970553,1546649700,0.00104475,3844.34970553,3844.34970553
3855.09324065,434.96663552,3858.8112825,3859.14995592,1546650000,0.11272037,3859.14995592,3855.09324065
3848.96546428,10724.37761008,3844.82318382,3840.89151988,1546650300,2.7893032,3848.96546428,3840.50746913
3840.89151988,52.8997873,3838.8815171,3837.46288142,1546650600,0.01378,3840.89151988,3837.0791735
3840.50743058,953.7397756,3832.44948205,3830.74058918,1546650900,0.24885906,3840.50743058,3830.74058918
3840.50743054,1005.02252671,3840.51499928,3840.50743054,1546651200,0.26168952,3846.96835183,3840.50743054
3846.96835028,176.99851369,3846.96835028,3846.96835028,1546651500,0.04600987,3846.96835028,3846.96835028
3846.96835028,0,3846.96835028,3846.96835028,1546651800,0,3846.96835028,3846.96835028
